district,soiltype,season,avgrainfall_mm,avgtemp_c,avghumidity_%,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,Crop
Sangli,Black,Zaid,911,32,70,7,236,18,239,Rice
Chandrapur,Sandy,Zaid,1478,27,69,8,256,19,259,Tur
Mumbai Suburban,Sandy,Zaid,1400,30,55,5,230,26,212,Wheat
Kolhapur,Sandy,Rabi,1030,24,62,8,239,16,210,Maize
Dhule,Red,Rabi,161,24,75,8,245,28,204,Rice
Mumbai Suburban,Laterite,Kharif,663,20,68,7,231,24,224,Rice
Beed,Black,Rabi,1617,30,55,6,217,19,144,Sugarcane
Chandrapur,Black,Zaid,674,26,50,7,281,31,229,Sugarcane
Hingoli,Alluvial,Zaid,953,28,85,7,381,11,220,Wheat
Chandrapur,Black,Zaid,887,26,62,8,214,28,214,Rice
Raigad,Laterite,Zaid,957,32,70,7,244,33,238,Cotton
Jalgaon,Alluvial,Rabi,1106,22,65,7,289,29,187,Maize
Latur,Black,Rabi,754,17,47,7,269,27,244,Sugarcane
Palghar,Red,Zaid,1517,26,73,6,266,27,237,Rice
Mumbai City,Black,Zaid,1031,26,68,8,229,23,206,Maize
Bhandara,Sandy,Zaid,1060,32,73,6,290,17,276,Wheat
Dhule,Alluvial,Kharif,994,28,27,8,233,21,171,Tur
Aurangabad,Red,Kharif,1230,23,91,7,338,16,277,Soybean
Ratnagiri,Black,Zaid,739,27,54,7,298,30,230,Maize
Wardha,Laterite,Zaid,922,26,66,7,266,38,167,Maize
Parbhani,Sandy,Rabi,549,23,83,7,290,21,270,Maize
Jalna,Red,Rabi,1413,19,50,7,314,43,189,Sugarcane
Beed,Laterite,Rabi,770,22,60,6,277,29,274,Soybean
Nanded,Alluvial,Kharif,895,30,58,8,284,42,190,Tur
Thane,Black,Zaid,775,31,57,8,192,34,185,Cotton
Akola,Alluvial,Rabi,560,22,55,7,280,24,185,Cotton
Raigad,Red,Kharif,942,30,61,8,293,18,219,Rice
Dhule,Black,Kharif,842,31,45,6,234,28,108,Maize
Satara,Alluvial,Rabi,307,24,69,8,198,27,201,Maize
Hingoli,Laterite,Zaid,1219,27,55,7,285,20,260,Maize
Pune,Red,Kharif,823,31,32,6,264,16,199,Tur
Yavatmal,Laterite,Rabi,1161,26,54,6,226,28,201,Tur
Amravati,Alluvial,Rabi,935,25,76,6,285,30,238,Wheat
Nashik,Red,Zaid,838,30,88,7,226,24,202,Maize
Nashik,Red,Zaid,938,24,28,7,209,34,168,Cotton
Gondia,Laterite,Zaid,1286,27,57,7,343,37,254,Cotton
Sangli,Sandy,Zaid,824,24,60,7,342,35,251,Soybean
Nanded,Red,Kharif,1026,23,75,7,221,26,218,Rice
Kolhapur,Red,Rabi,1370,25,62,7,183,21,318,Wheat
Nandurbar,Sandy,Rabi,525,27,43,8,204,30,267,Tur
Nanded,Red,Rabi,774,28,64,6,276,25,133,Rice
